old_url,redirect_to,status_code,reason
/ngay-hop-phu-huynh-o-truong-viet-anh-co-gi-khac-ngay-03-thang-04-nam-2018/,/blog/cach-chon-truong-mam-non-cho-con,301,Past event - consolidated
/nguoi-that-viec-that-ngay-23-thang-05-nam-2018/,/,301,Past event - consolidated
/nguyen-nhan-khien-cho-mua-he-cua-ban-troi-qua-vo-nghia-ngay-07-thang-06-nam-2018/,/,301,Past event - consolidated
/nhung-dac-quyen-khi-hoc-tap-tai-truong-quoc-te-viet-anh-ngay-06-thang-07-nam-2018-2/,/,301,Past event - consolidated
/noi-dung-viet-anh-summer-camp-2018-ngay-02-thang-05-nam-2018/,/,301,Past event - consolidated
/phong-trao-bung-no-song-xanh-song-sang-tao-ngay-15-thang-06-nam-2018/,/,301,Past event - consolidated
/phu-huynh-truong-thcs-thpt-viet-anh-dang-ki-chuong-trinh-summer-got-talent-2017-khoa-he-phat-trien-toan-dien-cho-tre-ngay-29-thang-03-nam-2017/,/thcs,301,Past event - consolidated
/rai-he-trong-nuoc-hay-trai-he-quoc-te-ngay-05-thang-06-nam-2018/,/,301,Past event - consolidated
/so-gd-dt-tp-hcm-yeu-cau-khac-phuc-giao-duc-kieu-quyen-uy-ngay-18-thang-06-nam-2018/,/blog/cach-chon-truong-mam-non-cho-con,301,Past event - consolidated
/tai-sao-khoa-he-viet-anh-summer-camp-la-lua-chon-so-1-ngay-01-thang-06-nam-2018/,/,301,Past event - consolidated
/tai-sao-ta-nen-cho-tre-tham-gia-trai-he-ngay-17-thang-05-nam-2018/,/,301,Past event - consolidated
/thang-5-o-viet-anh-co-gi-bat-ngo-ngay-14-thang-04-nam-2018/,/,301,Past event - consolidated
/the-manh-noi-troi-cua-truong-quoc-te-song-ngu-viet-anh-ngay-28-thang-06-nam-2018/,/,301,Past event - consolidated
/them-3-hoc-sinh-cua-truong-viet-anh-dat-giai-thuong-cuoc-thi-tieng-anh-duoc-to-chuc-boi-bo-gddt-ngay-18-thang-04-nam-2017/,/blog/10-bi-quyet-hoc-tieng-anh-hieu-qua,301,Past event - consolidated
